sampleid	Cluster	Description
K03520	1	K03520: carbon-monoxide dehydrogenase large subunit
K03528	1	K03528: cell division protein ZipA
K03298	1	K03298: drug/metabolite transporter DME family
K03293	1	K03293: amino acid transporter AAT family
K03290	1	K03290: MFS transporter SHS family sialic acid transporter
K03295	1	K03295: cation efflux system protein CDF family
K06023	1	K06023: HPr kinase/phosphorylase
K07192	1	K07192: flotillin
K14338	1	K14338
K13640	1	K13640
K08282	1	K08282: non-specific serine/threonine protein kinase
K02021	1	K02021: putative ABC transport system ATP-binding protein
K02020	1	K02020: molybdate transport system substrate-binding protein
K12994	1	K12994
K03088	1	K03088: RNA polymerase sigma-70 factor ECF subfamily
K07507	1	K07507: putative Mg2+ transporter-C (MgtC) family protein
K07506	1	K07506: AraC family transcriptional regulator
K01904	1	K01904: 4-coumarate--CoA ligase
K09921	1	K09921: hypothetical protein
K06200	1	K06200: carbon starvation protein
K09024	1	K09024: putative flavin reductase RutF
K09020	1	K09020: putative isochorismatase family protein RutB
K02907	1	K02907: large subunit ribosomal protein L30
K00231	1	K00231: protoporphyrinogen oxidase
K12508	1	K12508: feruloyl-CoA synthase
K06595	1	K06595: heam-based aerotactic trancducer
K10909	1	K10909: two-component system autoinducer 2 sensor kinase/phosphatase LuxQ
K06374	1	K06374: spore maturation protein B
K09811	1	K09811: cell division transport system permease protein
K10011	1	K10011: UDP-GlcUA decarboxylase/UDP-L-Ara4N formyltransferase
K10012	1	K10012: undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
K13662	1	K13662
K07641	1	K07641: two-component system OmpR family sensor histidine kinase CreC
K01468	1	K01468: imidazolonepropionase
K05541	1	K05541: tRNA-dihydrouridine synthase C
K05540	1	K05540: tRNA-dihydrouridine synthase B
K05549	1	K05549: benzoate 12-dioxygenase alpha subunit
K05548	1	K05548: MFS transporter AAHS family benzoate transport protein
K03319	1	K03319: divalent anion:Na+ symporter DASS family
K03316	1	K03316: monovalent cation:H+ antiporter CPA1 family
K03317	1	K03317: concentrative nucleoside transporter CNT family
K03315	1	K03315: Na+:H+ antiporter NhaC family
K03311	1	K03311: branched-chain amino acid:cation transporter LIVCS family
K06160	1	K06160: putative ATP-binding cassette transporter
K11991	1	K11991: tRNA-specific adenosine deaminase
K11626	1	K11626: putative sodium/glutamine symporter
K07560	1	K07560: D-tyrosyl-tRNA(Tyr) deacylase
K07789	1	K07789: RND superfamily multidrug transport protein MdtC
K07788	1	K07788: RND superfamily multidrug transport protein MdtB
K07785	1	K07785: MFS transporter NRE family putaive nickel resistance protein
K07787	1	K07787: Cu(I)/Ag(I) efflux system membrane protein CusA
K07786	1	K07786: MFS transporter multidrug resistance protein Y
K00782	1	K00782: hypothetical protein
K00786	1	K00786
K09008	1	K09008: hypothetical protein
K09004	1	K09004: hypothetical protein
K09005	1	K09005: hypothetical protein
K08234	1	K08234: glyoxylase I family protein
K00256	1	K00256: isoquinoline 1-oxidoreductase
K00254	1	K00254: dihydroorotate dehydrogenase
K01079	1	K01079: phosphoserine phosphatase
K01070	1	K01070: S-formylglutathione hydrolase
K01076	1	K01076
K01786	1	K01786: L-ribulose-5-phosphate 4-epimerase
K01782	1	K01782: 3-hydroxybutyryl-CoA epimerase
K02529	1	K02529: LacI family transcriptional regulator
K03781	1	K03781: catalase
K09788	1	K09788: hypothetical protein
K09786	1	K09786: hypothetical protein
K09781	1	K09781: hypothetical protein
K10961	1	K10961: toxin co-regulated pilus biosynthesis protein I
K11384	1	K11384: two-component system NtrC family response regulator AlgB
K11381	1	K11381: 2-oxoisovalerate dehydrogenase E1 component
K07047	1	K07047
K07045	1	K07045
K07043	1	K07043
K07040	1	K07040
K04786	1	K04786: yersiniabactin nonribosomal peptide/polyketide synthase
K05783	1	K05783: 16-dihydroxycyclohexa-24-diene-1-carboxylate dehydrogenase
K05782	1	K05782: benzoate membrane transport protein
K05784	1	K05784: benzoate 12-dioxygenase electron transfer component
K01442	1	K01442: choloylglycine hydrolase
K02069	1	K02069: putative ABC transport system permease protein
K02068	1	K02068: putative ABC transport system ATP-binding protein
K05569	1	K05569: multicomponent Na+:H+ antiporter subunit E
K05561	1	K05561: multicomponent K+:H+ antiporter subunit D
K12956	1	K12956
K12957	1	K12957
K12953	1	K12953
K06148	1	K06148: ATP-binding cassette subfamily C bacterial
K06140	1	K06140: regulator of nucleoside diphosphate kinase
K06142	1	K06142: outer membrane protein
K06143	1	K06143: inner membrane protein
K10558	1	K10558: AI-2 transport system ATP-binding protein
K10556	1	K10556: AI-2 transport system permease protein
K07239	1	K07239: heavy-metal exporter HME family
K07235	1	K07235: tRNA 2-thiouridine synthesizing protein D
K07231	1	K07231: putative iron-regulated protein
K07545	1	K07545: (R)-benzylsuccinyl-CoA dehydro genase
K07232	1	K07232: cation transport protein ChaC
K02464	1	K02464: general secretion pathway protein O
K02463	1	K02463: general secretion pathway protein N
K02461	1	K02461: general secretion pathway protein L
K00018	1	K00018: glycerate dehydrogenase
K00019	1	K00019: 3-hydroxybutyrate dehydrogenase
K12146	1	K12146: hydrogenase-4 transcriptional activator
K00016	1	K00016: L-lactate dehydrogenase
K08252	1	K08252: receptor protein-tyrosine kinase
K08253	1	K08253: non-specific protein-tyrosine kinase
K08256	1	K08256: phosphatidylinositol alpha-mannosyltransferase
K00276	1	K00276: primary-amine oxidase
K00270	1	K00270: phenylalanine dehydrogenase
K01274	1	K01274: D-alanyl-D-alanine dipeptidase
K01270	1	K01270: aminoacylhistidine dipeptidase
K01278	1	K01278: dipeptidyl-peptidase 4
K00903	1	K00903: protein-tyrosine kinase
K01058	1	K01058: phospholipase A1
K12540	1	K12540: membrane fusion protein PrsE
K12542	1	K12542: membrane fusion protein LapC
K12545	1	K12545: heme acquisition protein HasA
K06886	1	K06886: hemoglobin
K09858	1	K09858: SEC-C motif domain protein
K07689	1	K07689: two-component system NarL family invasion response regulator UvrY
K04017	1	K04017: formate-dependent nitrite reductase complex NrfF subunit
K07062	1	K07062
K07068	1	K07068
K01426	1	K01426: amidase
K01425	1	K01425: glutaminase
K14287	1	K14287
K05501	1	K05501: TetR/AcrR family transcriptional regulator
K13086	1	K13086
K12979	1	K12979
K12974	1	K12974
K11954	1	K11954: neutral amino acid transport system substrate-binding protein
K11953	1	K11953: bicarbonate transport system ATP-binding protein
K11952	1	K11952: bicarbonate transport system ATP-binding protein
K13888	1	K13888
K07216	1	K07216: hemerythrin
K07213	1	K07213
K07212	1	K07212: GGDEF domain
K10530	1	K10530: lactate oxidase
K00074	1	K00074: 3-hydroxybutyryl-CoA dehydrogenase
K02292	1	K02292: beta-carotene ketolase (CrtO type)
K08279	1	K08279: carnitine operon protein CaiE
K01048	1	K01048: lysophospholipase
K00925	1	K00925: acetate kinase
K02298	1	K02298: cytochrome o ubiquinol oxidase subunit I
K02299	1	K02299: cytochrome o ubiquinol oxidase subunit III
K02567	1	K02567: periplasmic nitrate reductase NapA
K03169	1	K03169: DNA topoisomerase III
K03924	1	K03924: MoxR-like ATPase
K07666	1	K07666: two-component system OmpR family response regulator QseB
K07667	1	K07667: two-component system OmpR family KDP operon response regulator
K07664	1	K07664: two-component system OmpR family response regulator BaeR
K07665	1	K07665: two-component system OmpR family copper resistance phosphate
K07662	1	K07662: two-component system OmpR family response regulator CpxR
K07660	1	K07660: two-component system OmpR family response regulator PhoP
K07661	1	K07661: two-component system OmpR family response regulator RstA
K07008	1	K07008
K07002	1	K07002
K07000	1	K07000
K07001	1	K07001
K07006	1	K07006
K01156	1	K01156: type III restriction enzyme
K01154	1	K01154: type I restriction enzyme S subunit
K05523	1	K05523: molecular chaperone HchA (Hsp31)
K05520	1	K05520: protease I
K14519	1	K14519
K03379	1	K03379: cyclohexanone monooxygenase
K03808	1	K03808: paraquat-inducible protein A
K03809	1	K03809: Trp repressor binding protein
K11931	1	K11931: biofilm PGA synthesis lipoprotein PgaB
K11936	1	K11936: biofilm PGA synthesis N-glycosyltransferase PgaC
K11939	1	K11939: inner membrane transporter RhtA
K07271	1	K07271: lipopolysaccharide cholinephosphotransferase
K07270	1	K07270: glycosyl transferase family 25
K07275	1	K07275: outer membrane protein
K07276	1	K07276: hypothetical protein
K07278	1	K07278: outer membrane protein
K08173	1	K08173: MFS transporter MHS family metabolite:H+ symporter
K08172	1	K08172: MFS transporter MHS family shikimate and dehydroshikimate
K02482	1	K02482: two-component system NtrC family sensor kinase
K08177	1	K08177: MFS transporter OFA family oxalate/formate antiporter
K02484	1	K02484: two-component system OmpR family sensor kinase
K09950	1	K09950: hypothetical protein
K07497	1	K07497: putative transposase
K07491	1	K07491: putative transposase
K07492	1	K07492: putative transposase
K00057	1	K00057: glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00050	1	K00050: hydroxypyruvate reductase
K03744	1	K03744: LemA protein
K01894	1	K01894: glutamyl-Q tRNA(Asp) synthetase
K03746	1	K03746: DNA-binding protein H-NS
K00947	1	K00947
K00944	1	K00944: nucleoside-triphosphate--adenylate kinase
K03491	1	K03491: lichenan operon transcriptional antiterminator
K03634	1	K03634: outer membrane lipoproteins carrier protein
K03636	1	K03636: molybdenum cofactor biosynthesis protein D
K03630	1	K03630: DNA repair protein RadC
K06046	1	K06046
K09895	1	K09895: hypothetical protein
K07649	1	K07649: two-component system OmpR family sensor histidine kinase TctE
K07391	1	K07391: magnesium chelatase family protein
K07397	1	K07397: putative redox protein
K07394	1	K07394: SM-20-related protein
K07647	1	K07647: two-component system OmpR family sensor histidine kinase TorS
K07025	1	K07025: putative hydrolase of the HAD superfamily
K07020	1	K07020
K02297	1	K02297: cytochrome o ubiquinol oxidase subunit II
K00557	1	K00557: tRNA (uracil-5-)-methyltransferase
K00551	1	K00551: phosphatidylethanolamine N-methyltransferase
K01176	1	K01176: alpha-amylase
K03821	1	K03821: polyhydroxyalkanoate synthase
K03823	1	K03823: acetyltransferase
K03824	1	K03824: putative acetyltransferase
K11917	1	K11917: sigma-54 specific transcriptional regulator
K11914	1	K11914: sigma-54 dependent transcriptional regulator
K12060	1	K12060: conjugal transfer pilus assembly protein TraU
K07250	1	K07250: (S)-3-amino-2-methylpropionate transaminase
K09973	1	K09973: hypothetical protein
K09977	1	K09977: hypothetical protein
K08365	1	K08365: MerR family transcriptional regulator mercuric resistance operon
K08369	1	K08369: MFS transporter putative metabolite:H+ symporter
K01617	1	K01617: 4-oxalocrotonate decarboxylase
K01610	1	K01610: phosphoenolpyruvate carboxykinase (ATP)
K03617	1	K03617: electron transport complex protein RnfA
K03616	1	K03616: electron transport complex protein RnfB
K03614	1	K03614: electron transport complex protein RnfD
K03613	1	K03613: electron transport complex protein RnfE
K11070	1	K11070: spermidine/putrescine transport system permease protein
K11071	1	K11071: spermidine/putrescine transport system permease protein
K05916	1	K05916: nitric oxide dioxygenase
K05914	1	K05914
K05918	1	K05918
K09144	1	K09144: hypothetical protein
K05875	1	K05875: methyl-accepting chemotaxis protein II aspartate sensor receptor
K05874	1	K05874: methyl-accepting chemotaxis protein I serine sensor receptor
K05877	1	K05877: methyl-accepting chemotaxis protein IV peptide sensor receptor
K05876	1	K05876: methyl-accepting chemotaxis protein III ribose and galactose sensor
K00575	1	K00575: chemotaxis protein methyltransferase CheR
K00573	1	K00573: protein-L-isoaspartate(D-aspartate) O-methyltransferase
K01113	1	K01113: phosphodiesterase/alkaline phosphatase D
K01114	1	K01114: phospholipase C
K01115	1	K01115: phospholipase D
K08085	1	K08085: type IV fimbrial biogenesis protein FimU
K03841	1	K03841: fructose-16-bisphosphatase I
K12262	1	K12262: cytochrome b561
K13245	1	K13245
K09912	1	K09912: hypothetical protein
K09913	1	K09913: hypothetical protein
K09915	1	K09915: hypothetical protein
K00982	1	K00982: glutamate-ammonia-ligase adenylyltransferase
K01584	1	K01584: arginine decarboxylase
K01580	1	K01580: glutamate decarboxylase
K13490	1	K13490
K08346	1	K08346: nitrate reductase 2 beta subunit
K03451	1	K03451: betaine/carnitine transporter BCCT family
K02614	1	K02614: phenylacetic acid degradation protein
K01630	1	K01630: 2-dehydro-3-deoxyglucarate aldolase
K02615	1	K02615: acetyl-CoA acetyltransferase
K14051	1	K14051
K14058	1	K14058
K03670	1	K03670: periplasmic glucans biosynthesis protein
K03673	1	K03673: thiol:disulfide interchange protein DsbA
K03672	1	K03672: thioredoxin 2
K09768	1	K09768: hypothetical protein
K03184	1	K03184: 2-octaprenyl-3-methyl-6-methoxy-14-benzoquinol hydroxylase
K03181	1	K03181: chorismate--pyruvate lyase
K07356	1	K07356: fimbrial protein
K06918	1	K06918
K06915	1	K06915
K08984	1	K08984: putative membrane protein
K08981	1	K08981: putative membrane protein
K05936	1	K05936: precorrin-4 C11-methyltransferase
K05939	1	K05939: acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase
K00375	1	K00375: GntR family transcriptional regulator / MocR family aminotransferase
K00376	1	K00376: nitrous-oxide reductase
K00372	1	K00372: nitrate reductase catalytic subunit
K00517	1	K00517
K05589	1	K05589: cell division protein FtsB
K02444	1	K02444: DeoR family transcriptional regulator glycerol-3-phosphate regulon
K02441	1	K02441: GlpG protein
K04517	1	K04517: prephenate dehydrogenase
K13006	1	K13006
K13001	1	K13001
K03863	1	K03863: vanillate monooxygenase
K10819	1	K10819: histidine kinase
K06959	1	K06959
K06958	1	K06958
K09935	1	K09935: hypothetical protein
K09936	1	K09936: hypothetical protein
K09930	1	K09930: hypothetical protein
K06218	1	K06218: RelE protein
K07167	1	K07167: putative transcriptional regulator
K07161	1	K07161
K08323	1	K08323: starvation sensing protein RspA
